part,action,start_frame,end_frame,start_sec,end_sec
Propeller Cone plate,remove,0,445,0.0,14.827
Propeller Cone Tip,remove,445,957,14.827,31.886
Frame Subassembly,remove,957,2436,31.886,81.203
Cowling Bracket,remove,2436,3364,81.203,112.127
Exhaust Casing,remove,3364,4302,112.127,143.403
Exhaust,remove,4302,5360,143.403,178.677
Compressor Casing,remove,5360,6864,178.677,228.788
Pop Control Sun Gear,remove,6864,7439,228.788,247.96
Pop Control Ring Gear,remove,7439,7984,247.96,266.137
Main Drive Planet Gear,remove,7984,8073,266.137,269.103
